[0909/013112.163:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x32fc00e6e200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/013116.803:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x2b2400a5a600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/013245.875:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x211c00aaaa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/013250.356:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x41d400420e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/014035.237:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0xe5400a43800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/015839.746:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x525c00a65800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/015842.256:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x525c00a65800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/015843.297:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x525c00a65800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/015843.675:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x525c00a65800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0909/020334.267:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x670400a66e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/020336.009:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x670400a66e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/020336.930:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x670400a66e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/020337.316:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x670400a66e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0909/020625.795:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x70dc0040e200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/020627.791:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x70dc0040e200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/020628.569:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x70dc0040e200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0909/020628.940:ERROR:gpu\command_buffer\service\gl_utils.cc:427] [.WebGL-0x70dc0040e200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
